time_ns,x,y,z,roll,pitch,yaw
1760679846902611450,-0.0502418,6.84125e-07,0.0771107,-3.6181e-05,0.103986,3.92605e-05
1760679846903608869,-0.0502418,6.84125e-07,0.0771107,-3.6181e-05,0.103986,3.92605e-05
1760679846904608442,-0.0502418,6.84125e-07,0.0771107,-3.6181e-05,0.103986,3.92605e-05
1760679846906613188,-0.0502418,6.94918e-07,0.0771107,-3.60372e-05,0.103986,3.92608e-05
1760679846907608973,-0.0502418,6.94918e-07,0.0771107,-3.60372e-05,0.103986,3.92608e-05
1760679846908608416,-0.0502418,7.00299e-07,0.0771107,-3.59655e-05,0.103986,3.92609e-05
1760679846909611195,-0.0502418,7.00299e-07,0.0771107,-3.59655e-05,0.103986,3.92609e-05
1760679846910610447,-0.0502418,7.0567e-07,0.0771107,-3.58939e-05,0.103986,3.92611e-05
1760679846911607174,-0.0502418,7.0567e-07,0.0771107,-3.58939e-05,0.103986,3.92611e-05
1760679846912609132,-0.0502418,7.11029e-07,0.0771107,-3.58225e-05,0.103986,3.92612e-05
1760679846913610398,-0.0502418,7.11029e-07,0.0771107,-3.58225e-05,0.103986,3.92612e-05
1760679846914609389,-0.0502418,7.11029e-07,0.0771107,-3.58225e-05,0.103986,3.92612e-05
1760679846915608090,-0.0502418,7.16379e-07,0.0771107,-3.57513e-05,0.103986,3.92614e-05
1760679846916607162,-0.0502418,7.21718e-07,0.0771107,-3.56801e-05,0.103986,3.92615e-05
1760679846918612249,-0.0502418,7.27047e-07,0.0771107,-3.56091e-05,0.103986,3.92617e-05
1760679846919608556,-0.0502418,7.27047e-07,0.0771107,-3.56091e-05,0.103986,3.92617e-05
1760679846920614701,-0.0502418,7.32365e-07,0.0771107,-3.55383e-05,0.103986,3.92618e-05
1760679846921610647,-0.0502418,7.32365e-07,0.0771107,-3.55383e-05,0.103986,3.92618e-05
1760679846922616952,-0.0502418,7.37673e-07,0.0771107,-3.54675e-05,0.103986,3.9262e-05
1760679846923612858,-0.0502418,7.37673e-07,0.0771107,-3.54675e-05,0.103986,3.9262e-05
1760679846924611018,-0.0502418,7.37673e-07,0.0771107,-3.54675e-05,0.103986,3.9262e-05
1760679846925611653,-0.0502418,7.42971e-07,0.0771107,-3.53969e-05,0.103986,3.92621e-05
1760679846926609252,-0.0502418,7.48259e-07,0.0771107,-3.53265e-05,0.103986,3.92623e-05
1760679846927609175,-0.0502418,7.48259e-07,0.0771107,-3.53265e-05,0.103986,3.92623e-05
1760679846928608838,-0.0502418,7.53536e-07,0.0771107,-3.52562e-05,0.103986,3.92624e-05
1760679846930614135,-0.0502418,7.58803e-07,0.0771107,-3.5186e-05,0.103986,3.92626e-05
1760679846931608038,-0.0502418,7.58803e-07,0.0771107,-3.5186e-05,0.103986,3.92626e-05
1760679846932609133,-0.0502418,7.64059e-07,0.0771107,-3.5116e-05,0.103986,3.92627e-05
1760679846933611131,-0.0502418,7.64059e-07,0.0771107,-3.5116e-05,0.103986,3.92627e-05
1760679846934612236,-0.0502418,7.69306e-07,0.0771107,-3.5046e-05,0.103986,3.92628e-05
1760679846935607621,-0.0502418,7.69306e-07,0.0771107,-3.5046e-05,0.103986,3.92628e-05
1760679846936610891,-0.0502418,7.69306e-07,0.0771107,-3.5046e-05,0.103986,3.92628e-05
1760679846937608790,-0.0502418,7.74542e-07,0.0771107,-3.49763e-05,0.103986,3.9263e-05
1760679846938606700,-0.0502418,7.79767e-07,0.0771107,-3.49066e-05,0.103986,3.92631e-05
1760679846939605662,-0.0502418,7.79767e-07,0.0771107,-3.49066e-05,0.103986,3.92631e-05
1760679846940607539,-0.0502418,7.84983e-07,0.0771107,-3.48371e-05,0.103986,3.92633e-05
1760679846942609540,-0.0502418,7.90189e-07,0.0771107,-3.47678e-05,0.103986,3.92634e-05
