time_ns,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11
1760679849938255652,-0.134862,1.22372,-2.72303,0.134909,1.22369,-2.72301,-0.480478,1.68256,-2.72413,0.48048,1.68203,-2.72417
1760679849939365443,-0.134862,1.22372,-2.72303,0.134908,1.22369,-2.72301,-0.480478,1.68256,-2.72413,0.48048,1.68203,-2.72417
1760679849940474012,-0.134862,1.22372,-2.72303,0.134908,1.22369,-2.72301,-0.480478,1.68256,-2.72413,0.48048,1.68203,-2.72417
1760679849941550461,-0.134861,1.22372,-2.72303,0.134907,1.22369,-2.72301,-0.480479,1.68255,-2.72413,0.480481,1.68202,-2.72417
1760679849942648780,-0.134861,1.22372,-2.72303,0.134907,1.22369,-2.72301,-0.480479,1.68255,-2.72413,0.480481,1.68202,-2.72417
1760679849943738905,-0.134861,1.22372,-2.72303,0.134907,1.22369,-2.72301,-0.480479,1.68255,-2.72413,0.480481,1.68202,-2.72417
1760679849944800124,-0.13486,1.22372,-2.72303,0.134906,1.22369,-2.72301,-0.480479,1.68255,-2.72413,0.480482,1.68202,-2.72417
1760679849945901269,-0.13486,1.22372,-2.72303,0.134906,1.22369,-2.72301,-0.480479,1.68255,-2.72413,0.480482,1.68202,-2.72417
1760679849946987566,-0.13486,1.22372,-2.72303,0.134906,1.22369,-2.72301,-0.480479,1.68255,-2.72413,0.480482,1.68202,-2.72417
1760679849948085485,-0.13486,1.22372,-2.72303,0.134906,1.2237,-2.72301,-0.48048,1.68255,-2.72413,0.480482,1.68202,-2.72417
1760679849949145723,-0.134859,1.22372,-2.72303,0.134905,1.2237,-2.72301,-0.48048,1.68255,-2.72413,0.480483,1.68202,-2.72416
1760679849950250615,-0.134859,1.22372,-2.72303,0.134905,1.2237,-2.72301,-0.48048,1.68255,-2.72413,0.480483,1.68202,-2.72416
1760679849951334117,-0.134859,1.22372,-2.72303,0.134904,1.2237,-2.72301,-0.480481,1.68255,-2.72413,0.480483,1.68202,-2.72416
1760679849952423209,-0.134859,1.22372,-2.72303,0.134904,1.2237,-2.72301,-0.480481,1.68255,-2.72413,0.480483,1.68202,-2.72416
1760679849953518032,-0.134859,1.22372,-2.72303,0.134904,1.2237,-2.72301,-0.480481,1.68255,-2.72413,0.480484,1.68202,-2.72416
1760679849954689080,-0.134859,1.22372,-2.72303,0.134904,1.2237,-2.72301,-0.480481,1.68255,-2.72413,0.480484,1.68202,-2.72416
1760679849955685527,-0.134858,1.22372,-2.72303,0.134903,1.2237,-2.72301,-0.480482,1.68255,-2.72413,0.480484,1.68202,-2.72416
1760679849956796200,-0.134858,1.22372,-2.72303,0.134903,1.2237,-2.72301,-0.480482,1.68255,-2.72413,0.480484,1.68202,-2.72416
1760679849957903607,-0.134858,1.22372,-2.72303,0.134903,1.2237,-2.72301,-0.480482,1.68254,-2.72413,0.480485,1.68201,-2.72416
1760679849959029028,-0.134857,1.22373,-2.72303,0.134902,1.2237,-2.72301,-0.480483,1.68254,-2.72413,0.480485,1.68201,-2.72416
1760679849960167243,-0.134857,1.22373,-2.72303,0.134902,1.2237,-2.72301,-0.480483,1.68254,-2.72413,0.480485,1.68201,-2.72416
1760679849961289057,-0.134857,1.22373,-2.72303,0.134901,1.2237,-2.72301,-0.480483,1.68254,-2.72413,0.480486,1.68201,-2.72416
1760679849962418105,-0.134857,1.22373,-2.72303,0.134901,1.2237,-2.72301,-0.480483,1.68254,-2.72413,0.480486,1.68201,-2.72416
1760679849963528217,-0.134856,1.22373,-2.72303,0.134901,1.2237,-2.72301,-0.480483,1.68254,-2.72413,0.480486,1.68201,-2.72416
1760679849971097430,-0.134856,1.22373,-2.72303,0.134901,1.2237,-2.72301,-0.480483,1.68254,-2.72413,0.480486,1.68201,-2.72416
1760679849972137249,-0.134855,1.22373,-2.72303,0.134898,1.2237,-2.72301,-0.480485,1.68254,-2.72413,0.480488,1.68201,-2.72416
1760679849973237623,-0.134855,1.22373,-2.72303,0.134898,1.2237,-2.72301,-0.480485,1.68254,-2.72413,0.480488,1.68201,-2.72416
1760679849974325312,-0.134854,1.22373,-2.72303,0.134898,1.2237,-2.72301,-0.480486,1.68254,-2.72413,0.480488,1.682,-2.72416
1760679849975419925,-0.134854,1.22373,-2.72303,0.134897,1.2237,-2.72301,-0.480486,1.68253,-2.72413,0.480489,1.682,-2.72416
1760679849976522162,-0.134854,1.22373,-2.72303,0.134897,1.2237,-2.72301,-0.480486,1.68253,-2.72413,0.480489,1.682,-2.72416
1760679849977665387,-0.134853,1.22373,-2.72303,0.134897,1.2237,-2.72301,-0.480486,1.68253,-2.72413,0.480489,1.682,-2.72416
1760679849978753167,-0.134853,1.22373,-2.72303,0.134897,1.2237,-2.72301,-0.480486,1.68253,-2.72413,0.480489,1.682,-2.72416
